title,location,month,year
"Interiors: Including Property from the Collection of Sir David and Lady Tang and Property from Bywell Hall, Northumberland and Property from Howe",London,January,2018
Old Master & British Drawings,New York,January,2018
MoMA: Garry Winogrand,New York,January,2018
MoMA: Bill Brandt,New York,January,2018
Beyond Imagination: Outsider and Vernacular Art Featuring the Collection of Marjorie and Harvey Freed,New York,January,2018
"Important American Furniture, Folk Art and Silver",New York,January,2018
"Chinese Export Art Featuring 100 lots from Marchant, est 1925",New York,January,2018
Contemporary Edition,New York,February,2018
Impressionist and Modern Art Day Sale,London,February,2018
Impressionist and Modern Works on Paper,London,February,2018
Impressionist and Modern Art Evening Sale,London,February,2018
The Art of the Surreal Evening Sale,London,February,2018
Inside Art: London,London,February,2018
"Deep Impact: Martian, Lunar and Other Rare Meteorites",London,February,2018
Jewels Online,New York,February,2018
JF Chen Collection Online,New York,February,2018
JF Chen Collection,New York,February,2018
First Open | Hong Kong,Hong Kong,March,2018
Prints & Multiples,London,March,2018
"The Art of China: London, Spring Edition",London,March,2018
"The Art of China: New York, Spring Edition",New York,March,2018
Prints & Works on Paper by Zao Wou-Ki,London,March,2018
Art Impressionniste et Moderne,Paris,March,2018
Fine Chinese Ceramics and Works of Art,New York,March,2018
Hommage à la famille Hessel : mécènes et modèles,Paris,March,2018
Important Watches: Including Contemporary Wristwatches from an Important Swiss Collection,Dubai,March,2018
Dubai: Post War and Contemporary Art,Dubai,March,2018
Oeuvres Modernes sur Papier,Paris,March,2018
"The Classic Age of Chinese Ceramics - The Linyushanren Collection, Part III",New York,March,2018
The Studio of the Clear Garden: Chinese Ceramics and Works of Art,New York,March,2018
Dessins Anciens et du XIXe Siècle,Paris,March,2018
"Indian, Himalayan and Southeast Asian Works of Art",New York,March,2018
Modern | British & Irish Art,London,March,2018
South Asian Modern + Contemporary Art,New York,March,2018
Fine Chinese Paintings,New York,March,2018
Fine & Rare Wines Featuring an Esteemed Collection from Mr. Neil Liu and an Immaculate Single Owner Collection,Hong Kong,March,2018
Fine & Rare Wines Featuring Wines Direct from Grandi Cru d&apos;Italia Estates,London,March,2018
Art of the Islamic and Indian Worlds Including Oriental Rugs and Carpets,London,April,2018
The Collector : Le Goût Français,Paris,April,2018
Post-War and Contemporary Art,Amsterdam,April,2018
Andy Warhol: Sunsets,New York,April,2018
Prints and Multiples,New York,April,2018
The Exceptional Sale,New York,April,2018
Christie's Jewels Online,New York,April,2018
Old Masters Part I,New York,April,2018
Old Masters Part II,New York,April,2018
19th Century European Art,New York,April,2018
Antiquities,New York,April,2018
Japanese and Korean Art,New York,April,2018
First Open Online,London,April,2018
Magnificent Jewels,New York,April,2018
"Sculpted by Nature: Fossils, Minerals and Meteorites",London,April,2018
"INTERIORS including Faringdon House, Oxfordshire",London,April,2018
Pavilion Online: Chinese Art,Hong Kong,April,2018
Milan Modern and Contemporary Art,Milan,April,2018
MoMA: Walker Evans,New York,April,2018
The Feather Collection: Fine Furniture & Works of Art,New York,April,2018
Celestial Immortals -  The Taber Family Tianqiuping from Philbrook Museum of Art,Hong Kong,May,2018
Contemplating The Divine - Fine Buddhist Art,Hong Kong,May,2018
Contemporary Art Asia: New York Edition,New York,May,2018
Handbags & Accessories,Hong Kong,May,2018
Important Chinese Ceramics and Works of Art,Hong Kong,May,2018
Latin American Art Online,New York,May,2018
Leisurely Delights of a Transient Life,Hong Kong,May,2018
Stephen Shore: Vintage Photographs,New York,May,2018
Three Qianlong Rarities - Imperial Ceramics From An Important Private Collection,Hong Kong,May,2018
